,Unnamed: 0,name,date,platform,score,url,userscore,fullurl,developer,genre,no_userreviews
1941,1941,Enter The Gungeon,"April 5, 2017",Xbox One,85,/game/xbox-one/enter-the-gungeon,7.2,https://www.metacritic.com/game/xbox-one/enter-the-gungeon,Dodge Roll,"['Action', 'General', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",22
1942,1942,Project CARS 2,"September 22, 2017",Xbox One,84,/game/xbox-one/project-cars-2,5.7,https://www.metacritic.com/game/xbox-one/project-cars-2,"Bandai Namco Games, Slightly Mad Studios","['Racing', 'Simulation', 'Automobile']",69
1943,1943,Statik,"April 24, 2017",PlayStation 4,84,/game/playstation-4/statik,7.9,https://www.metacritic.com/game/playstation-4/statik,Tarsier Studios,"['Adventure', '3D', 'First-Person']",57
1944,1944,Kingdom Hearts HD I.5 + II.5 Remix,"March 28, 2017",PlayStation 4,84,/game/playstation-4/kingdom-hearts-hd-i5-+-ii5-remix,8.9,https://www.metacritic.com/game/playstation-4/kingdom-hearts-hd-i5-+-ii5-remix,Square Enix,"['Miscellaneous', 'Compilation']",531
1945,1945,Pokemon Ultra Sun,"November 17, 2017",3DS,84,/game/3ds/pokemon-ultra-sun,7.7,https://www.metacritic.com/game/3ds/pokemon-ultra-sun,Game Freak,"['Role-Playing', 'Trainer']",932
1946,1946,South Park: The Fractured But Whole,"October 17, 2017",Xbox One,84,/game/xbox-one/south-park-the-fractured-but-whole,7.9,https://www.metacritic.com/game/xbox-one/south-park-the-fractured-but-whole,Ubisoft San Francisco,"['Role-Playing', 'General']",127
1947,1947,Shovel Knight: Specter of Torment,"March 3, 2017",Switch,84,/game/switch/shovel-knight-specter-of-torment,8.0,https://www.metacritic.com/game/switch/shovel-knight-specter-of-torment,Yacht Club Games,"['Action', 'Platformer', '2D']",121
1948,1948,Finding Paradise,"December 14, 2017",PC,81,/game/pc/finding-paradise,8.3,https://www.metacritic.com/game/pc/finding-paradise,Freebird Games,"['Role-Playing', 'Japanese-Style']",148
1949,1949,Reigns: Her Majesty,"December 6, 2017",PC,81,/game/pc/reigns-her-majesty,7.1,https://www.metacritic.com/game/pc/reigns-her-majesty,Nerial,"['Simulation', 'General']",19
1950,1950,Children of Zodiarcs,"July 18, 2017",PlayStation 4,81,/game/playstation-4/children-of-zodiarcs,5.7,https://www.metacritic.com/game/playstation-4/children-of-zodiarcs,Cardboard Utopia,"['Role-Playing', 'Japanese-Style']",17
1951,1951,Little Nightmares,"April 28, 2017",PC,81,/game/pc/little-nightmares,8.2,https://www.metacritic.com/game/pc/little-nightmares,Tarsier Studios,"['General', 'Action Adventure', 'Linear']",288
1952,1952,Middle-earth: Shadow of War,"October 10, 2017",Xbox One,81,/game/xbox-one/middle-earth-shadow-of-war,4.2,https://www.metacritic.com/game/xbox-one/middle-earth-shadow-of-war,Monolith Productions,"['Action Adventure', 'Open-World']",362
