,name,date,platform,score,url,userscore
5339,Sakura Wars,"April 28, 2020",PlayStation 4,73,/game/playstation-4/sakura-wars,7.3
5340,Double Kick Heroes,"August 13, 2020",Switch,73,/game/switch/double-kick-heroes,tbd
5341,The Elder Scrolls Online: Greymoor,"June 9, 2020",PlayStation 4,73,/game/playstation-4/the-elder-scrolls-online-greymoor,6.1
5342,Jay and Silent Bob: Mall Brawl,"May 7, 2020",Switch,73,/game/switch/jay-and-silent-bob-mall-brawl,7.6
5343,Lydia,"January 17, 2020",Switch,73,/game/switch/lydia,6.6
5344,Borderlands 3: Psycho Krieg and the Fantastic Fustercluck,"September 10, 2020",PC,72,/game/pc/borderlands-3-psycho-krieg-and-the-fantastic-fustercluck,3.6
5345,Phoenotopia: Awakening,"August 20, 2020",Switch,72,/game/switch/phoenotopia-awakening,8.0
5346,The Wonderful 101: Remastered,"May 19, 2020",Switch,72,/game/switch/the-wonderful-101-remastered,6.5
5347,No Straight Roads,"August 25, 2020",PC,72,/game/pc/no-straight-roads,7.4
5348,Zombie Army 4: Dead War,"February 4, 2020",PlayStation 4,72,/game/playstation-4/zombie-army-4-dead-war,6.6
5349,"Warhammer 40,000: Mechanicus","July 17, 2020",Switch,72,/game/switch/warhammer-40000-mechanicus,5.5
5350,Spellbreak,"September 3, 2020",PlayStation 4,72,/game/playstation-4/spellbreak,7.6
5351,PGA Tour 2K21,"August 21, 2020",Switch,72,/game/switch/pga-tour-2k21,4.8
5352,Beyond Blue,"June 11, 2020",PC,72,/game/pc/beyond-blue,6.1
5353,Infliction: Extended Cut,"February 25, 2020",Xbox One,72,/game/xbox-one/infliction-extended-cut,6.2
5354,Mafia II: Definitive Edition,"May 19, 2020",PC,72,/game/pc/mafia-ii-definitive-edition,6.0
5355,"Borderlands 3: Guns, Love, and Tentacles","March 26, 2020",PC,72,/game/pc/borderlands-3-guns-love-and-tentacles,5.8
5356,Rock of Ages 3: Make & Break,"July 21, 2020",PC,72,/game/pc/rock-of-ages-3-make-break,6.0
5357,Before We Leave,"May 8, 2020",PC,72,/game/pc/before-we-leave,7.0
5358,Relicta,"August 3, 2020",PC,72,/game/pc/relicta,7.5
5359,Oddworld: Stranger's Wrath HD,"January 23, 2020",Switch,72,/game/switch/oddworld-strangers-wrath-hd,7.3
5360,Dex,"July 24, 2020",Switch,72,/game/switch/dex,8.1
5361,The Outer Worlds: Peril on Gorgon,"September 9, 2020",PlayStation 4,72,/game/playstation-4/the-outer-worlds-peril-on-gorgon,5.9
5362,Captain Tsubasa: Rise of New Champions,"August 28, 2020",Switch,72,/game/switch/captain-tsubasa-rise-of-new-champions,7.1
5363,Metamorphosis,"August 12, 2020",PC,72,/game/pc/metamorphosis,7.4
5364,Destroy All Humans!,"July 28, 2020",PC,72,/game/pc/destroy-all-humans!,8.1
5365,Tannenberg,"July 24, 2020",Xbox One,72,/game/xbox-one/tannenberg,6.3
5366,Minecraft Dungeons,"May 26, 2020",Switch,72,/game/switch/minecraft-dungeons,7.1
5367,Daemon X Machina,"February 13, 2020",PC,72,/game/pc/daemon-x-machina,6.9
5368,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,"June 23, 2020",Xbox One,71,/game/xbox-one/spongebob-squarepants-battle-for-bikini-bottom---rehydrated,8.8
5369,Saints Row IV: Re-Elected,"March 27, 2020",Switch,71,/game/switch/saints-row-iv-re-elected,6.9
5370,Battletoads,"August 20, 2020",Xbox One,71,/game/xbox-one/battletoads,6.6
5371,Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,"March 24, 2020",PlayStation 4,71,/game/playstation-4/yu-gi-oh!-legacy-of-the-duelist-link-evolution,5.7
5372,Assetto Corsa Competizione,"June 23, 2020",PlayStation 4,71,/game/playstation-4/assetto-corsa-competizione,5.5
5373,Maneater,"May 22, 2020",Xbox One,71,/game/xbox-one/maneater,7.0
5374,HyperParasite,"April 3, 2020",Switch,71,/game/switch/hyperparasite,7.8
5375,No Straight Roads,"August 25, 2020",Switch,71,/game/switch/no-straight-roads,4.8
5376,Relicta,"August 3, 2020",PlayStation 4,71,/game/playstation-4/relicta,7.3
5377,Beyond Blue,"June 11, 2020",Xbox One,71,/game/xbox-one/beyond-blue,6.0
5378,Sludge Life,"April 8, 2020",PC,71,/game/pc/sludge-life,6.8
5379,Minoria,"September 10, 2020",Switch,71,/game/switch/minoria,tbd
5380,Fairy Tail,"July 31, 2020",PlayStation 4,71,/game/playstation-4/fairy-tail,5.6
5381,King of Fighters R-2,"August 7, 2020",Switch,71,/game/switch/king-of-fighters-r-2,tbd
5382,Call of Duty: Modern Warfare 2 Campaign Remastered,"March 31, 2020",PlayStation 4,71,/game/playstation-4/call-of-duty-modern-warfare-2-campaign-remastered,7.3
5383,Shantae and the Seven Sirens,"May 28, 2020",PlayStation 4,71,/game/playstation-4/shantae-and-the-seven-sirens,5.3
